ItemCode_1,ItemName_1,ItemCode_2,ItemName_2,"count(DocNo )"
2502600600,ข้อต่อหนา PVC 3/4 (140/ล.),2503000600,ข้องอหนาฟ้า PVC 3/4 (125/ล.),1
0001700404,"สี่เหลี่ยมโปร่ง 1/2 เขียว (1.2+/-)(13x13มม.)",0001812008,"สี่เหลี่ยมโปร่ง 1 x 2 ม่วง(7.5+/-)(47x23มม.)",1
0600524619,"ตป.เกลียวปลายสว่านยึดโครงเหล็ก#8x1/2”(หัวบัททอน) โปรฟาส(50ตัว/แพ็ค)",1206703609,ส.สันลอนFIX 12-14-48 ซิงค์เหล็ก(100ตัว/ถุง),1
2700103903,ลูกสัปปะรด SC-003,2934190914,สีสเปรย์ KOBE #0914 เขียวแก่ กป.,1
2700110181,พวงองุ่น แบบแบนรุ่นปั้ม 1/2,2934190914,สีสเปรย์ KOBE #0914 เขียวแก่ กป.,1
2700103520,ดอกเก๊กฮวยติดก้านใบกุหลาบเล็ก,2934190914,สีสเปรย์ KOBE #0914 เขียวแก่ กป.,1
0001950302,"สี่เหลี่ยมโปร่งกัลวาไนซ์ 3 แดง"",0001960302,"สี่เหลี่ยมโปร่งกัลวาไนซ์ 3 x 1-1/2 แดง (1.8)",1
0001960207,"สี่เหลี่ยมโปร่งชุบกัลวาไนซ์ 2 x 1 แดง-น้ำเงิน",0001960302,"สี่เหลี่ยมโปร่งกัลวาไนซ์ 3 x 1-1/2 แดง (1.8)",1
0001701427,สี่เหลี่ยมโปร่ง 1-1/2 เงิน-ทอง(1.5มม),0001831400,"สี่เหลี่ยมโปร่ง 3 x 1-1/2 น้ำเงิน-ขาว(12.5+/-)",1
0001702043,"สี่เหลี่ยมโปร่ง 2 ขาว (2.3 มิล มอก.)",0001842023,"สี่เหลี่ยมโปร่ง 4 x 2 ขาว ( 2.3 มอก.)",1
0001960208,"สี่เหลี่ยมโปร่งชุบกัลวาไนซ์ 2 x 1 น้ำเงิน-ทอง (1.5)",0001960303,"สี่เหลี่ยมโปร่งกัลวาไนซ์ 3 x 1-1/2 ม่วง-เขียว (1.2มม.)",1
2301604010,"แปรงทาสีด้ามขาว 1 (อัน)"",2301605015,"แปรงทาสีมีเชือก 1-1/2(อัน)"",1
2301604015,"แปรงทาสีด้ามขาว 1-1/2 (อัน)"",2301605015,"แปรงทาสีมีเชือก 1-1/2(อัน)"",1
0001950302,"สี่เหลี่ยมโปร่งกัลวาไนซ์ 3 แดง"",0001960303,"สี่เหลี่ยมโปร่งกัลวาไนซ์ 3 x 1-1/2 ม่วง-เขียว (1.2มม.)",1
0001812008,"สี่เหลี่ยมโปร่ง 1 x 2 ม่วง(7.5+/-)(47x23มม.)",0003700416,แบนรีด 5/8 X 3/16 ชมพู,1
0001700404,"สี่เหลี่ยมโปร่ง 1/2 เขียว (1.2+/-)(13x13มม.)",0003700416,แบนรีด 5/8 X 3/16 ชมพู,1
0002200400,สี่เหลี่ยมตัน 1/2 ขาว,0003700416,แบนรีด 5/8 X 3/16 ชมพู,1
0001703001,สี่เหลี่ยมโปร่ง 3 แดง (25/มัด),0001705103,"สี่เหลี่ยมโปร่ง 5 แดง ( 2.5 มิล)",1
0001704494,"สี่เหลี่ยมโปร่ง 4 ขาว ( 2.3 ขาว มอก.)",0001705103,"สี่เหลี่ยมโปร่ง 5 แดง ( 2.5 มิล)",1
2300803201,ตะปู 2X13 (1กก./ถุง),2934190910,"สีสเปรย์ KOBE #0910 ดำเงา กป.",1
0002200603,สี่เหลี่ยมตัน 3/4 เหลือง,0004001000,เหล็กแบนรีด 1 X 3/16(4.มิล)ชมพู,1
0001703001,สี่เหลี่ยมโปร่ง 3 แดง (25/มัด),0001704494,"สี่เหลี่ยมโปร่ง 4 ขาว ( 2.3 ขาว มอก.)",1
0003800507,แบนตัด 3/4 X 1/8 ขาว (2.5),0004001000,เหล็กแบนรีด 1 X 3/16(4.มิล)ชมพู,1
0001960303,"สี่เหลี่ยมโปร่งกัลวาไนซ์ 3 x 1-1/2 ม่วง-เขียว (1.2มม.)",0001960406,"สี่เหลี่ยมโปร่งกัลวาไนซ์ 4 x 2 น้ำเงิน-เขียว (1.4)",1
0001950302,"สี่เหลี่ยมโปร่งกัลวาไนซ์ 3 แดง"",0001960406,"สี่เหลี่ยมโปร่งกัลวาไนซ์ 4 x 2 น้ำเงิน-เขียว (1.4)",1
2522660050,"ข้องอเกลียวนอก HDPE 50 x 1-1/2'' สวมอัด ''TON-D''",2522660063,"ข้องอเกลียวนอก HDPE 63 x 2'' สวมอัด ''TON-D''",1
2505300601,ข้องอเกลียวใน ทองเหลือง 3/4 (60/ล.),2522660063,"ข้องอเกลียวนอก HDPE 63 x 2'' สวมอัด ''TON-D''",1
2522510032,"ข้อต่อตรงเกลียวใน HDPE 32 x 1 สวมอัด ''TON-D''"",2522660063,"ข้องอเกลียวนอก HDPE 63 x 2'' สวมอัด ''TON-D''",1
2502601000,"ข้อต่อหนา PVC 1 (80/ล.)"",2505301000,"ข้องอเกลียวใน PVC 1 (30/ล.)"",1
2503102000,"ข้องอบางฟ้า 90 PVC 2 (70/ล.)",2503104000,"ข้องอบางฟ้า 90 PVC 4 (20/ล.)",1
2503000600,ข้องอหนาฟ้า PVC 3/4 (125/ล.),2503104000,"ข้องอบางฟ้า 90 PVC 4 (20/ล.)",1
2503001000,"ข้องอหนาฟ้า PVC 1 (60/ล.)"",2503104000,"ข้องอบางฟ้า 90 PVC 4 (20/ล.)",1
2503102000,"ข้องอบางฟ้า 90 PVC 2 (70/ล.)",2507500604,ลดกลม PVC 3/4x1/2 (180),1
2505400401,สามทางเกลียวใน ทองเหลือง 1/2 (55/ล.),2507500604,ลดกลม PVC 3/4x1/2 (180),1
2503104000,"ข้องอบางฟ้า 90 PVC 4 (20/ล.)",2507500604,ลดกลม PVC 3/4x1/2 (180),1
2503001000,"ข้องอหนาฟ้า PVC 1 (60/ล.)"",2507500604,ลดกลม PVC 3/4x1/2 (180),1
2505300598,ข้องอเกลียวใน ทองเหลือง 1/2 (100/ล.),2507500604,ลดกลม PVC 3/4x1/2 (180),1
2700104001,หัวศรใหญ่ (1กก./ถุง),2700104003,หัวศรเล็ก (1กก./ถุง),1
2700103520,ดอกเก๊กฮวยติดก้านใบกุหลาบเล็ก,2700103903,ลูกสัปปะรด SC-003,1
2300808170,ตะปูเกลียว เตเปอร์ 8x2 (50/ถุง),2300808191,ตะปูเกลียว เตเปอร์ 12X3 (40/ถุง),1
2101181107,"กระจกสี่เหลี่ยม EMS-01 ขาว TIGER (3ชิ้น/ชุด) PiXo",2301498033,น๊อตหัวเหลี่ยม 1 x 3/8(กก.),1
2107000565,กาวยาแนวพรีเมี่ยมพลัส สีเทาปะการัง(20ถุง/ล),2503101400,"ข้องอบางฟ้า 90 PVC 1-1/2 (120/ล.)",1
2107000507,กาวยาแนวพรีเมี่ยมพลัส สีขาวไข่มุก(20ถุง/ลัง),2503101400,"ข้องอบางฟ้า 90 PVC 1-1/2 (120/ล.)",1
2505004000,ข้อต่อเกลียวนอก PVC 4 (4/ล.),2505204000,ข้อต่อเกลียวใน PVC 4 (4/ล.),1
2700103903,ลูกสัปปะรด SC-003,2700110181,พวงองุ่น แบบแบนรุ่นปั้ม 1/2,1
2700103520,ดอกเก๊กฮวยติดก้านใบกุหลาบเล็ก,2700110181,พวงองุ่น แบบแบนรุ่นปั้ม 1/2,1
2300808147,ตะปูเกลียว เตเปอร์ 8X3 (50/ถุง),2700212051,"กลอนขวาง(ชุบขาว) 3/8x5 ซ้าย"",1
2103501112,"เทปพันเกลียว 16mm.x0.1x12M. Duss (หนา)(20ม้วน:กล่อง/300ม้วน:ลัง)",2700212051,"กลอนขวาง(ชุบขาว) 3/8x5 ซ้าย"",1
0600524400,ตป.กบ.ปลายแหลม#10X95มม.(10x3.8)100/กล่อง,2700212051,"กลอนขวาง(ชุบขาว) 3/8x5 ซ้าย"",1
2301402185,น๊อตหัวกลม 6 X 1/2(กก.),2301510017,แหวน 1/2 (20ตัว/แพค),1
2300803400,ตะปู 4X7 (1กก./ถุง),2301510017,แหวน 1/2 (20ตัว/แพค),1
0001701225,"สี่เหลี่ยมโปร่ง 1-1/4 เงิน (30x30มม.)",0001702025,สี่เหลี่ยมโปร่ง 2 เงิน (64/มัด),1
2301604010,"แปรงทาสีด้ามขาว 1 (อัน)"",2301604015,"แปรงทาสีด้ามขาว 1-1/2 (อัน)"",1
0004001000,เหล็กแบนรีด 1 X 3/16(4.มิล)ชมพู,0004001400,เหล็กแบนรีด 1-1/2X3/16(4.มิล)ชมพู,1
0003800507,แบนตัด 3/4 X 1/8 ขาว (2.5),0004001400,เหล็กแบนรีด 1-1/2X3/16(4.มิล)ชมพู,1
2505300599,ข้องอเกลียวใน PVC 1/2 (100/ล.),2506200400,"นิเปิ้ล PVC 1/2 (250/ลัง)",1
